id,d_name,d_cat,d_alcohol,d_glass,d_ingredients,d_instructions,d_shopping
20,"360 degress",Cocktail,Alcoholic,"Shot glass","1/2 oz Rum|1/2 oz Grape juice|1/2 oz Vodka|1/2 oz Gin|1/2 oz Blue Curacao|1/2 oz Sour mix|1/2 oz Lime juice|1/2 oz Grapefruit juice","Pour two of each ingredients in a shot glass then use a coaster to put one shot glass over the top of one another.","Rum|Grape juice|Vodka|Gin|Blue Curacao|Sour mix|Lime juice|Grapefruit juice"
21,"5 Pm","Coffee / Tea",Optional,"Any Glass","2 cl Dark rum|1 cl Cointreau|Fill with hot Tea|2 drops Milk","Pour rum and Cointreau into tea cup, fill with English hot tea and top with milk.","Dark rum|Cointreau|Tea|Milk"
22,44D,Shot,Alcoholic,"Shot glass","1/3 shot Peach schnapps|1/3 shot Kahlua|1/3 shot Vodka (Skyy)|1 splash Grenadine","Pour each into shot glass and top with Grenadine.","Peach schnapps|Kahlua|Vodka|Grenadine"
23,50/50,"Ordinary Drink",Alcoholic,"Any Glass","2 1/2 oz Vanilla vodka (Stoli Vanil)|1 splash Grand Marnier|Fill with Orange juice","fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.","Vanilla vodka|Grand Marnier|Orange juice"
24,"40 Water","Ordinary Drink",Alcoholic,"Any Glass","1 1/2 oz Bacardi 151 proof rum|1 1/2 oz Light rum|1 1/2 oz Triple sec|1 dash Grenadine|Fill with Pineapple juice","Traditionally, this drink is created in an empty 20oz bottle of water. Fill the bottle 1/4 full of crushed ice. Add the 3 shots in any order. Add the dash of Grenadine. Fill with pineapple juice. Close the cap, and shake.","151 proof rum|Light rum|Triple sec|Grenadine|Pineapple juice"
25,491,"Ordinary Drink",Alcoholic,"Highball glass","2 cl White rum (Bacardi)|2 cl Gin (Tanqueray)|2 cl Apricot brandy|Fill with Ginger ale","Pour the spirits over some ice cubes in a highball glass. Fill it up with Ginger Ale. Place a slice of lime in the drink and serve.","White rum|Gin|Apricot brandy|Ginger ale"
26,5-Ball,"Punch / Party Drink",Alcoholic,"Any Glass","1 fifth Triple sec|2-3 packages Orange Kool-Aid|Sugar","Make Kool-Aid as normal, except add double the amount of sugar. After Kool-Aid is made add Triple sec. Serve Chilled.","Triple sec|Kool-Aid|Sugar"
27,"501 Blue","Ordinary Drink",Alcoholic,"Any Glass","Blue Curacao|Blueberry schnapps|Vodka|Sour mix|7-Up","Mix equal amounts into a glass with ice.","Blue Curacao|Blueberry schnapps|Vodka|Sour mix|7-Up"
28,"49er Gold Rush",Shot,Alcoholic,"Shot glass","1/2 oz Cinnamon schnapps (Goldschlager)|1/2 oz Gold tequila (Cuervo)","Pour in tequila, and cinnamon schnapps in a shot glass (chilled, to your advantage).","Cinnamon schnapps|Gold tequila"
29,666,Shot,Alcoholic,"Shot glass","1 part Sambuca|1 part Jack Daniels|1 part Tequila","Add each ingredient one by one to shot glass, and enjoy!","Sambuca|Jack Daniels|Tequila"
30,"57 T-Bird with Hawaiian License Plates",Cocktail,Alcoholic,"Highball glass","1 oz Vodka|1 oz Amaretto|1 oz Grand Marnier|Fill with Pineapple juice","Combine all ingredients in cocktail mixer, shake well, pour over ice.","Vodka|Amaretto|Grand Marnier|Pineapple juice"
